id,year,output,employment,capital,log_output,log_employment,log_capital,foreign,entry,age,export,exporter,import,importer,hicapital,hiemployment,research,log_research
1,2006,22.75772,578,222.9141,3.124905,6.359574,5.406786,1,1990,16,0,1,989.0297,0,1,1,252.5685,5.531682
1,2007,19.45666,175,191.8588,2.968189,5.164786,5.25676,1,1990,17,0,1,0,0,1,0,221.4875,5.400366
1,2008,18.39758,169,192.2359,2.912219,5.129899,5.258723,1,1990,18,1.277331,1,0,0,1,0,221.1421,5.398805
1,2009,28.05316,280,501.8637,3.334101,5.634789,6.218328,1,1990,19,0,1,311.8771,0,1,1,528.2048,6.269484
1,2010,18.35359,296,185.1576,2.909825,5.69036,5.221207,1,1990,20,0,1,0,0,1,1,216.0947,5.375717
1,2011,22.74638,443,294.7265,3.124406,6.09357,5.686048,1,1990,21,2.173442,1,0,0,1,1,329.9804,5.799033
1,2012,21.64427,365,254.6014,3.074741,5.899898,5.539699,1,1990,22,0,1,0,0,1,1,285.303,5.653552
1,2013,21.71897,169,282.9278,3.078186,5.129899,5.645192,1,1990,23,1.008553,1,0,0,1,0,316.3792,5.756941
1,2014,18.84954,674,149.8478,2.936488,6.51323,5.00962,1,1990,24,10.46241,1,0,0,0,1,178.8627,5.186618
1,2015,28.59043,290,486.4115,3.353072,5.669881,6.187055,1,1990,25,3.218679,1,1603.409,0,1,1,515.3101,6.244769
2,2006,19.33631,276,155.6984,2.961985,5.620401,5.047921,1,1990,16,0,1,0,1,0,1,181.8215,5.203026
2,2007,18.21385,362,109.4898,2.902183,5.891644,4.695831,1,1990,17,8.870433,1,536.1204,1,0,1,134.582,4.902174
2,2008,27.35644,317,426.5052,3.308952,5.758902,6.055624,1,1990,18,2.898929,1,0,1,1,1,454.6306,6.119485
2,2009,24.84005,483,355.3329,3.212457,6.180017,5.873055,1,1990,19,9.09258,1,0,1,1,1,386.657,5.957538
2,2010,16.79573,409,96.02679,2.821125,6.013715,4.564627,1,1990,20,9.163666,1,834.8737,1,0,1,126.2139,4.837978
2,2011,20.65179,401,166.1212,3.027802,5.993961,5.112717,1,1990,21,1.034352,1,429.2544,1,1,1,204.4527,5.320337
2,2012,26.68572,174,464.866,3.284129,5.159055,6.141749,1,1990,22,0,1,172.242,1,1,0,491.2945,6.197044
2,2013,16.46052,441,61.79556,2.800965,6.089045,4.123832,1,1990,23,0,1,352.034,1,0,1,85.82182,4.452273
2,2014,15.86869,179,114.4363,2.764348,5.187386,4.740018,1,1990,24,0,1,166.2741,1,0,0,143.1644,4.963994
2,2015,25.02823,301,316.0534,3.220004,5.70711,5.755911,1,1990,25,6.627029,1,0,1,1,1,347.971,5.852119
3,2006,28.34762,303,449.1539,3.344543,5.713733,6.107366,1,1991,15,5.963318,1,0,1,1,1,478.8951,6.171482
3,2007,25.91565,253,380.0829,3.254847,5.53339,5.940389,1,1991,16,0,1,0,1,1,1,409.1757,6.014145
3,2008,25.47412,286,371.0968,3.237663,5.655992,5.916463,1,1991,17,5.045522,1,227.3655,1,1,1,402.5726,5.997876
3,2009,23.96111,502,309.0173,3.176432,6.2186,5.733397,1,1991,18,.3508495,1,194.6709,1,1,1,339.9677,5.82885
3,2010,34.74361,628,604.0183,3.547996,6.44254,6.403605,1,1991,19,11.78266,1,39.94267,1,1,1,629.9825,6.445692
3,2011,34.5669,147,764.6398,3.542897,4.990433,6.639405,1,1991,20,2.437194,1,0,1,1,0,791.8141,6.674326
3,2012,30.87839,693,528.0025,3.430057,6.54103,6.269101,1,1991,21,4.392276,1,454.2223,1,1,1,559.3068,6.326698
3,2013,32.49575,228,663.6174,3.481109,5.429346,6.497706,1,1991,22,5.360867,1,399.1209,1,1,1,690.2994,6.537126
3,2014,27.8721,156,459.5586,3.327626,5.049856,6.130266,1,1991,23,14.75033,1,360.2303,1,1,0,487.6841,6.189668
3,2015,19.06599,211,152.4521,2.947906,5.351858,5.026851,1,1991,24,1.919812,1,0,1,0,1,181.351,5.200435
4,2006,31.05778,314,641.0107,3.435849,5.749393,6.463046,1,1991,15,0,0,0,1,1,1,673.4594,6.512428
4,2007,24.39722,136,373.1417,3.194469,4.912655,5.921958,1,1991,16,3.020911,0,343.2409,1,1,0,403.6352,6.000512
4,2008,15.85115,500,75.45823,2.763242,6.214608,4.323579,1,1991,17,0,0,0,1,0,1,104.4087,4.648314
4,2009,10.64697,386,22.90115,2.365275,5.955837,3.131187,1,1991,18,0,0,162.6787,1,0,1,47.57513,3.86231
4,2010,18.45783,235,124.1796,2.915488,5.459586,4.821729,1,1991,19,7.450204,0,180.8002,1,0,1,153.6569,5.034722
